Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A2_006_Line_Y_500m,MOD16A2_006_Sample_X_500m,MOD16A2_006_ET_500m,MOD16A2_006_PET_500m,MOD16A2_006_ET_QC_500m,MOD16A2_006_ET_QC_500m_bitmask,MOD16A2_006_ET_QC_500m_MODLAND,MOD16A2_006_ET_QC_500m_MODLAND_Description,MOD16A2_006_ET_QC_500m_Sensor,MOD16A2_006_ET_QC_500m_Sensor_Description,MOD16A2_006_ET_QC_500m_DeadDetector,MOD16A2_006_ET_QC_500m_DeadDetector_Description,MOD16A2_006_ET_QC_500m_CloudState,MOD16A2_006_ET_QC_500m_CloudState_Description,MOD16A2_006_ET_QC_500m_SCF_QC,MOD16A2_006_ET_QC_500m_SCF_QC_Description
LLK,1,14.081605555,100.42191388,2014-12-27,h27v07,1420.0,1777.0,12.2,24.8,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-01-01,h27v07,1420.0,1777.0,22.3,43.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-01-09,h27v07,1420.0,1777.0,32765.0,32765.0,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-01-17,h27v07,1420.0,1777.0,16.7,48.7,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-01-25,h27v07,1420.0,1777.0,32765.0,32765.0,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-02-02,h27v07,1420.0,1777.0,15.9,53.8,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-02-10,h27v07,1420.0,1777.0,32765.0,32765.0,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-02-18,h27v07,1420.0,1777.0,14.9,54.8,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-02-26,h27v07,1420.0,1777.0,12.8,51.9,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-03-06,h27v07,1420.0,1777.0,32765.0,32765.0,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
LLK,1,14.081605555,100.42191388,2015-03-14,h27v07,1420.0,1777.0,32765.0,32765.0,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
