date,SM-AMSR2-XN-DESC_V003_100,SM-AMSR2-XN-DESC_V003_100_AVG,SM-AMSR2-XN-DESC_V003_100_CLIMATOLOGY,SM-AMSR2-XN-DESC_V003_100_COVERAGE
"2012-07-03","","",0.2718,""
"2012-07-04","","",0.2734,""
"2012-07-05","","",0.275,""
"2012-07-06","","",0.2746,""
"2012-07-07","","",0.277,""
"2012-07-08","","",0.2783,""
"2012-07-09","","",0.2792,""
"2012-07-10","","",0.2799,""
"2012-07-11","","",0.2776,""
"2012-07-12","","",0.279,""
"2012-07-13","","",0.2811,""
"2012-07-14","","",0.2818,""
"2012-07-15","","",0.2819,""
"2012-07-16","","",0.2803,""
"2012-07-17","","",0.2802,""
"2012-07-18","","",0.2785,""
"2012-07-19","","",0.2795,""
"2012-07-20","","",0.2793,""
"2012-07-21","","",0.2802,""
"2012-07-22","","",0.2803,""
"2012-07-23","","",0.2837,""
"2012-07-24","","",0.284,""
"2012-07-25","","",0.2854,""
"2012-07-26","","",0.2847,""
"2012-07-27","","",0.2823,""
"2012-07-28","","",0.2807,""
"2012-07-29","","",0.2799,""
"2012-07-30","","",0.2807,""
"2012-07-31","","",0.2806,""
"2012-08-01","","",0.2823,""
"2012-08-02","","",0.2819,""
"2012-08-03","","",0.2849,""
"2012-08-04","","",0.2868,""
"2012-08-05","","",0.2872,""
"2012-08-06","","",0.2886,""
"2012-08-07","","",0.2866,""
"2012-08-08","","",0.2883,""
"2012-08-09","","",0.2869,""
"2012-08-10","","",0.2863,""
"2012-08-11","","",0.285,""
"2012-08-12","","",0.2852,""
"2012-08-13","","",0.2817,""
"2012-08-14","","",0.2803,""
"2012-08-15","","",0.2801,""
"2012-08-16","","",0.2797,""
"2012-08-17","","",0.2816,""
"2012-08-18","","",0.2811,""
"2012-08-19","","",0.2809,""
"2012-08-20","","",0.2801,""
"2012-08-21","","",0.279,""
"2012-08-22","","",0.2771,""
"2012-08-23","","",0.2774,""
"2012-08-24","","",0.2766,""
"2012-08-25","","",0.2742,""
"2012-08-26","","",0.2706,""
"2012-08-27","","",0.2685,""
"2012-08-28","","",0.2653,""
"2012-08-29","","",0.2621,""
"2012-08-30","","",0.2572,""
"2012-08-31","","",0.2579,""
"2012-09-01","","",0.257,""
"2012-09-02","","",0.2532,""
"2012-09-03","","",0.2519,""
"2012-09-04","","",0.2489,""
"2012-09-05","","",0.2469,""
"2012-09-06","","",0.2461,""
"2012-09-07","","",0.2434,""
"2012-09-08","","",0.2406,""
"2012-09-09","","",0.2385,""
"2012-09-10","","",0.2358,""
"2012-09-11","","",0.2324,""
"2012-09-12","","",0.2332,""
"2012-09-13","","",0.2297,""
"2012-09-14","","",0.2259,""
"2012-09-15","","",0.2234,""
"2012-09-16","","",0.221,""
"2012-09-17","","",0.2165,""
"2012-09-18","","",0.2141,""
"2012-09-19","","",0.212,""
"2012-09-20","","",0.2128,""
"2012-09-21","","",0.2084,""
"2012-09-22","","",0.2053,""
"2012-09-23","","",0.2019,""
"2012-09-24","","",0.1982,""
"2012-09-25","","",0.1952,""
"2012-09-26","","",0.1909,""
"2012-09-27","","",0.1884,""
"2012-09-28","","",0.1866,""
"2012-09-29","","",0.1827,""
"2012-09-30","","",0.1804,""
"2012-10-01","","",0.1784,""
"2012-10-02","","",0.1783,""
"2012-10-03","","",0.1757,""
"2012-10-04","","",0.1739,""
"2012-10-05","","",0.1726,""
"2012-10-06","","",0.1711,""
"2012-10-07","","",0.1701,""
"2012-10-08","","",0.1698,""
"2012-10-09","","",0.1685,""
"2012-10-10","","",0.168,""
"2012-10-11","","",0.1681,""
"2012-10-12","","",0.1639,""
"2012-10-13","","",0.1641,""
"2012-10-14","","",0.1652,""
"2012-10-15","","",0.1638,""
"2012-10-16","","",0.1646,""
"2012-10-17","","",0.1644,""
"2012-10-18","","",0.1631,""
"2012-10-19","","",0.164,""
"2012-10-20","","",0.1649,""
"2012-10-21","","",0.1651,""
"2012-10-22","","",0.1623,""
"2012-10-23","","",0.1622,""
"2012-10-24","","",0.1624,""
"2012-10-25","","",0.1631,""
"2012-10-26","","",0.1634,""
"2012-10-27","","",0.1649,""
"2012-10-28","","",0.1645,""
"2012-10-29","","",0.1661,""
"2012-10-30","","",0.1677,""
"2012-10-31","","",0.1659,""
"2012-11-01","","",0.1646,""
"2012-11-02","","",0.1678,""
"2012-11-03","","",0.168,""
"2012-11-04","","",0.1677,""
"2012-11-05","","",0.1691,""
"2012-11-06","","",0.1693,""
"2012-11-07","","",0.17,""
"2012-11-08","","",0.1721,""
"2012-11-09","","",0.1733,""
"2012-11-10","","",0.1747,""
"2012-11-11","","",0.1773,""
"2012-11-12","","",0.1838,""
"2012-11-13","","",0.1843,""
"2012-11-14","","",0.184,""
"2012-11-15","","",0.1866,""
"2012-11-16","","",0.1856,""
"2012-11-17","","",0.1865,""
"2012-11-18","","",0.1877,""
"2012-11-19","","",0.1876,""
"2012-11-20","","",0.1879,""
"2012-11-21","","",0.1887,""
"2012-11-22","","",0.1894,""
"2012-11-23","","",0.1904,""
"2012-11-24","","",0.1914,""
"2012-11-25","","",0.1926,""
"2012-11-26","","",0.1938,""
"2012-11-27","","",0.1926,""
"2012-11-28","","",0.1931,""
"2012-11-29","","",0.1918,""
"2012-11-30","","",0.1909,""
"2012-12-01","","",0.1907,""
"2012-12-02","","",0.1859,""
"2012-12-03","","",0.1821,""
"2012-12-04","","",0.1838,""
"2012-12-05","","",0.1848,""
"2012-12-06","","",0.1824,""
"2012-12-07","","",0.1841,""
"2012-12-08","","",0.1848,""
"2012-12-09","","",0.1857,""
"2012-12-10","","",0.1859,""
"2012-12-11","","",0.1857,""
"2012-12-12","","",0.1869,""
"2012-12-13","","",0.1883,""
"2012-12-14","","",0.1902,""
"2012-12-15","","",0.1887,""
"2012-12-16","","",0.1897,""
"2012-12-17","","",0.1919,""
"2012-12-18","","",0.1911,""
"2012-12-19","","",0.1936,""
"2012-12-20","","",0.1937,""
"2012-12-21","","",0.1961,""
"2012-12-22","","",0.1968,""
"2012-12-23","","",0.1994,""
"2012-12-24","","",0.2005,""
"2012-12-25","","",0.1981,""
"2012-12-26","","",0.1994,""
"2012-12-27","","",0.2012,""
"2012-12-28","","",0.2058,""
"2012-12-29","","",0.2067,""
"2012-12-30","","",0.2095,""
"2012-12-31","","",0.2105,""
"2013-01-01","","",0.2114,""
"2013-01-02","","",0.2163,""
"2013-01-03","","",0.217,""
"2013-01-04","","",0.2192,""
"2013-01-05","","",0.2208,""
"2013-01-06","","",0.2234,""
"2013-01-07","","",0.2248,""
"2013-01-08","","",0.226,""
"2013-01-09","","",0.2272,""
"2013-01-10","","",0.2286,""
"2013-01-11","","",0.2364,""
"2013-01-12","","",0.2392,""
"2013-01-13","","",0.2441,""
"2013-01-14","","",0.247,""
"2013-01-15","","",0.2487,""
"2013-01-16","","",0.251,""
"2013-01-17","","",0.2507,""
"2013-01-18","","",0.2511,""
"2013-01-19","","",0.2495,""
"2013-01-20","","",0.2503,""
"2013-01-21","","",0.25,""
"2013-01-22","","",0.2494,""
"2013-01-23","","",0.2469,""
"2013-01-24","","",0.2475,""
"2013-01-25","","",0.2497,""
"2013-01-26","","",0.2499,""
"2013-01-27","","",0.2508,""
"2013-01-28","","",0.2516,""
"2013-01-29","","",0.2548,""
"2013-01-30","","",0.254,""
"2013-01-31","","",0.2551,""
"2013-02-01","","",0.2511,""
"2013-02-02","","",0.2486,""
"2013-02-03","","",0.2478,""
"2013-02-04","","",0.2455,""
"2013-02-05","","",0.2439,""
"2013-02-06","","",0.2443,""
"2013-02-07","","",0.2433,""
"2013-02-08","","",0.2432,""
"2013-02-09","","",0.2457,""
"2013-02-10","","",0.247,""
"2013-02-11","","",0.2475,""
"2013-02-12","","",0.2474,""
"2013-02-13","","",0.2479,""
"2013-02-14","","",0.2503,""
"2013-02-15","","",0.2492,""
"2013-02-16","","",0.2488,""
"2013-02-17","","",0.2479,""
"2013-02-18","","",0.2436,""
"2013-02-19","","",0.2427,""
"2013-02-20","","",0.2406,""
"2013-02-21","","",0.2379,""
"2013-02-22","","",0.2362,""
"2013-02-23","","",0.2341,""
"2013-02-24","","",0.2335,""
"2013-02-25","","",0.2334,""
"2013-02-26","","",0.2322,""
"2013-02-27","","",0.2308,""
"2013-02-28","","",0.2309,""
"2013-03-01","","",0.2292,""
"2013-03-02","","",0.2269,""
"2013-03-03","","",0.2232,""
"2013-03-04","","",0.2209,""
"2013-03-05","","",0.2214,""
"2013-03-06","","",0.2178,""
"2013-03-07","","",0.2147,""
"2013-03-08","","",0.2122,""
"2013-03-09","","",0.21,""
"2013-03-10","","",0.2095,""
"2013-03-11","","",0.2081,""
"2013-03-12","","",0.2059,""
"2013-03-13","","",0.2045,""
"2013-03-14","","",0.202,""
"2013-03-15","","",0.2011,""
"2013-03-16","","",0.2006,""
"2013-03-17","","",0.1979,""
"2013-03-18","","",0.1977,""
"2013-03-19","","",0.1953,""
"2013-03-20","","",0.1932,""
"2013-03-21","","",0.1924,""
"2013-03-22","","",0.1898,""
"2013-03-23","","",0.1887,""
"2013-03-24","","",0.1874,""
"2013-03-25","","",0.1868,""
"2013-03-26","","",0.1842,""
"2013-03-27","","",0.1859,""
"2013-03-28","","",0.1863,""
"2013-03-29","","",0.1865,""
"2013-03-30","","",0.185,""
"2013-03-31","","",0.1839,""
"2013-04-01","","",0.1833,""
"2013-04-02","","",0.1809,""
"2013-04-03","","",0.185,""
"2013-04-04","","",0.1865,""
"2013-04-05","","",0.1862,""
"2013-04-06","","",0.1874,""
"2013-04-07","","",0.1866,""
"2013-04-08","","",0.1892,""
"2013-04-09","","",0.1895,""
"2013-04-10","","",0.1908,""
"2013-04-11","","",0.1912,""
"2013-04-12","","",0.1935,""
"2013-04-13","","",0.1932,""
"2013-04-14","","",0.1948,""
"2013-04-15","","",0.1961,""
