Category,ID,Latitude,Longitude,Date,SMAP_Tile,SPL4SMGP_004_Line_Y_9km,SPL4SMGP_004_Sample_X_9km,SPL4SMGP_004_Geophysical_Data_sm_rootzone_0,SPL4SMGP_004_Geophysical_Data_sm_rootzone_1,SPL4SMGP_004_Geophysical_Data_sm_rootzone_2,SPL4SMGP_004_Geophysical_Data_sm_rootzone_3,SPL4SMGP_004_Geophysical_Data_sm_rootzone_4,SPL4SMGP_004_Geophysical_Data_sm_rootzone_5,SPL4SMGP_004_Geophysical_Data_sm_rootzone_6,SPL4SMGP_004_Geophysical_Data_sm_rootzone_7,SPL4SMGP_004_Geophysical_Data_sm_surface_0,SPL4SMGP_004_Geophysical_Data_sm_surface_1,SPL4SMGP_004_Geophysical_Data_sm_surface_2,SPL4SMGP_004_Geophysical_Data_sm_surface_3,SPL4SMGP_004_Geophysical_Data_sm_surface_4,SPL4SMGP_004_Geophysical_Data_sm_surface_5,SPL4SMGP_004_Geophysical_Data_sm_surface_6,SPL4SMGP_004_Geophysical_Data_sm_surface_7
LLK,1,14.081605555,100.421913889,2018-01-01,h00v00,614.0,3003.0,0.4148,0.4138,0.4124,0.4118,0.4128,0.4128,0.413,0.413,0.3769,0.3693,0.3576,0.3546,0.3691,0.3721,0.3748,0.377
LLK,1,14.081605555,100.421913889,2018-01-02,h00v00,614.0,3003.0,0.4131,0.4122,0.4108,0.41,0.4099,0.41,0.4102,0.4102,0.3806,0.3717,0.3587,0.3546,0.3575,0.3614,0.3653,0.3685
LLK,1,14.081605555,100.421913889,2018-01-03,h00v00,614.0,3003.0,0.4103,0.4094,0.4081,0.4074,0.4077,0.4078,0.4078,0.408,0.3697,0.3621,0.3509,0.3479,0.3558,0.3596,0.3619,0.3647
LLK,1,14.081605555,100.421913889,2018-01-04,h00v00,614.0,3003.0,0.4081,0.4072,0.4058,0.4052,0.4052,0.4053,0.4055,0.4055,0.3688,0.3613,0.3495,0.3477,0.3511,0.3544,0.3568,0.3595
LLK,1,14.081605555,100.421913889,2018-01-05,h00v00,614.0,3003.0,0.4048,0.404,0.4027,0.4021,0.4021,0.4023,0.4024,0.4025,0.3537,0.3484,0.3388,0.337,0.3407,0.3447,0.3482,0.3514
LLK,1,14.081605555,100.421913889,2018-01-06,h00v00,614.0,3003.0,0.4026,0.4019,0.4007,0.4003,0.4006,0.4007,0.4008,0.401,0.3539,0.3481,0.3389,0.34,0.3437,0.3476,0.3513,0.3554
LLK,1,14.081605555,100.421913889,2018-01-07,h00v00,614.0,3003.0,0.4021,0.4013,0.4001,0.3994,0.3994,0.3995,0.3997,0.3998,0.3693,0.3598,0.3486,0.3433,0.3456,0.3492,0.3523,0.3545
LLK,1,14.081605555,100.421913889,2018-01-08,h00v00,614.0,3003.0,0.3998,0.3989,0.3977,0.3971,0.397,0.3972,0.3974,0.3974,0.3554,0.347,0.3364,0.3337,0.3361,0.3406,0.3446,0.3483
LLK,1,14.081605555,100.421913889,2018-01-09,h00v00,614.0,3003.0,0.3975,0.3968,0.3965,0.3964,0.3973,0.3974,0.3984,0.4033,0.3507,0.3475,0.3497,0.3519,0.3597,0.3598,0.3719,0.4043
LLK,1,14.081605555,100.421913889,2018-01-10,h00v00,614.0,3003.0,0.4067,0.4099,0.4103,0.4095,0.4089,0.4086,0.4084,0.4081,0.3984,0.406,0.393,0.3845,0.382,0.3802,0.379,0.3779
